영문항공사명,korAirline,carrierCode,항공사코드2(ICAO),항공사상태,사업모델,국가,지역
1time,원 타임 항공,T6,RNX,Ceased Operations,Low Cost Carrier,South Africa,중동아프리카
21 Air,21 에어,2I,CSB,Active,Cargo,United States of America,북미캐나다
40 Mile Air,40 마일 에어,Q5,MLA,Active,Regional/Commuter,United States of America,북미캐나다
748 Air Services,748 항공서비스,FE,IHO,Active,Charter,Kenya,중동아프리카
888 Macau Airlines,888 마카오 항공,n/a,n/a,Failed startup,Full Service Carrier,Macau,아시아태평양
9 Air,9 에어,AQ,JYH,Active,Low Cost Carrier,China,아시아태평양
AB Aviation,AB 항공,Y6,CIK,Active,Regional/Commuter,Comoros,중동아프리카
ABC Air Hungary,ABC 에어 헝가리,n/a,AHU,Ceased Operations,Cargo,Hungary,유럽
Aberdair Aviation Ltd,아베르데어 에비에이션,n/a,BDV,Active,Charter,Kenya,중동아프리카
ABS Jets,Abs 제트,n/a,ABP,Active,Charter,Czech Republic,유럽
Abu Dhabi Aviation,아부다비 국제공항,n/a,BAR,Active,Regional/Commuter,United Arab Emirates,중동아프리카
ABX Air,ABX 에어,GB,ABX,Active,Cargo,United States of America,북미캐나다
acacusair Airline,아카쿠세어 항공,n/a,n/a,Failed startup,Charter,Libya,중동아프리카
Ad Maiora Lineas Aereas,아드마이오라 항공,n/a,n/a,Ceased Operations,Regional/Commuter,Paraguay,중남미
ADC Airlines,ADC 항공,Z7,ADK,Ceased Operations,Full Service Carrier,Nigeria,중동아프리카
Adria Airways,아드리아 항공,JP,ADR,Ceased Operations,Regional/Commuter,Slovenia,유럽
Adria Airways Switzerland,아드리아항공 스위스,F7,DWT,Ceased Operations,Charter,Switzerland,유럽
Adriatic Skyways,아드리아해스카이웨이,n/a,n/a,Ceased Operations,Virtual Carrier,Croatia,유럽
Advanced Air,어드밴스드 에어,AN,WSN,Active,Regional/Commuter,United States of America,북미캐나다
Aegean Airlines,에게안 항공,A3,AEE,Active,Full Service Carrier,Greece,유럽
Aeolus Air,에올러스 항공,n/a,AAZ,Ceased Operations,Charter,Gambia,중동아프리카
Aer Caribe Peru,에어카리베 페루,EF,CPR,Active,Charter,Peru,중남미
Aer Lingus,에어링거스,EI,EIN,Active,Full Service Carrier,Ireland,유럽
Aer Lingus Regional,에어링구스리저널,EI,EIN,Active,Regional/Commuter,Ireland,유럽
Aer Southeast,Aer 사우스이스트 항공,n/a,n/a,Failed startup,Full Service Carrier,Ireland,유럽
AerCaribe,에어카리베,JK,ACL,Active,Charter,Colombia,중남미
Aereo Ruta Maya,아에로 류타 마야,n/a,MMG,Active,Charter,Guatemala,중남미
Aero Africa,에어로 아프리카,n/a,RFC,Ceased Operations,Charter,Eswatini,중동아프리카
Aero Bleu Airways,에어로블루 항공,n/a,n/a,Active,Cargo,Philippines,아시아태평양
Aero Charter,에어로 차터,n/a,n/a,Active,Charter,Ukraine,유럽
Aero Contractors,에어로 콘트렉트 항공,N2,NIG,Active,Full Service Carrier,Nigeria,중동아프리카
Aero Dili,에어로 딜리,8G,DTL,Active,Regional/Commuter,Timor-Leste,아시아태평양
Aero Georgia,조지아 항공,n/a,n/a,Failed startup,Charter,Georgia,유럽
Aero K,에어로 K,RF,EOK,Active,Low Cost Carrier,South Korea,아시아태평양
Aero Mongolia,에어로몽골,M0,MNG,Active,Full Service Carrier,Mongolia,아시아태평양
Aero Nomad,에어로 노마드,KA,ANK,Active,Regional/Commuter,Kyrgyzstan,아시아태평양
Aero Owen,에어로 오웬,n/a,OWN,Active,Regional/Commuter,Mexico,중남미
Aero Postal Cargo de Mexico,에어로포스탈 화물항공,n/a,PCG,Ceased Operations,Cargo,Mexico,중남미
AeroBaru,에어로바루,n/a,n/a,Failed startup,Regional/Commuter,Colombia,중남미
Aerobell Airlines,에어로벨 항공,n/a,GAB,Active,Charter,Costa Rica,중남미
Aerocardal,에어로카달,n/a,CDA,Active,Charter,Chile,중남미
Aerocaribbean,에어로카리비엔,7L,CRN,Active,Regional/Commuter,Cuba,중남미
Aerocaribe de Honduras,에어로카리베 온두라스,n/a,HAS,Active,Charter,Honduras,중남미
Aerochaco,에어로차고,VM,PRV,Ceased Operations,Charter,Argentina,중남미
Aerocon,아에레오콘,A4,AEK,Ceased Operations,Regional/Commuter,Bolivia,중남미
AeroDesierto,에어로데시에르토,n/a,DTO,Ceased Operations,Regional/Commuter,Chile,중남미
Aeroeste,아에레로에스테 ,n/a,ROE,Active,Charter,Bolivia,중남미
Aeroexpress Regional,에어로 익스프레스 리저널,n/a,n/a,Active,Regional/Commuter,Hungary,유럽
Aeroflot,아에로플로트,SU,AFL,Active,Full Service Carrier,Russian Federation,유럽
Aeroflot Cargo,아에로플로트 카고,SU,RCF,Ceased Operations,Cargo,Russian Federation,유럽
Aerogaviota,아에로가비오타,n/a,GTV,Active,Regional/Commuter,Cuba,중남미
AeroGeo,에어로지오,n/a,n/a,Active,Charter,Russian Federation,유럽
Aeroitalia,에어리탈리아,XZ,AEZ,Active,Full Service Carrier,Italy,유럽
Aeroland Airways,에어로랜드 항공,3S,AEN,Ceased Operations,Charter,Greece,유럽
AeroLap Paraguay Airlines,에어로랩파라과이 항공,n/a,n/a,Failed startup,Full Service Carrier,Paraguay,중남미
Aerolinea de Antioquia,안티오키아항공,n/a,ANQ,Ceased Operations,Charter,Colombia,중남미
Aerolinea Santander,산탄데르 항공,n/a,n/a,Active,Regional/Commuter,Peru,중남미
Aerolineas Argentinas,아르헨티나 항공,AR,ARG,Active,Full Service Carrier,Argentina,중남미
Aerolineas Mas,에어로니아스 마스,n/a,MAF,Ceased Operations,Charter,Dominican Republic,중남미
Aerolineas Sosa,SOSA 항공,S0,NSO,Active,Regional/Commuter,Honduras,중남미
Aerolineas Sudamericanas,남미항공,n/a,n/a,Ceased Operations,Charter,Bolivia,중남미
Aerolinee Siciliane,시칠리아 항공,n/a,n/a,Startup,Low Cost Carrier,Italy,유럽
Aerolink Air Services,에어로링크 항공서비스,n/a,n/a,Active,Charter,Australia,아시아태평양
AeroLogic,에어로로직,3S,BOX,Active,Cargo,Germany,유럽
Aeromar,아에로마,VW,TAO,Ceased Operations,Regional/Commuter,Mexico,중남미
Aeromet,에어로메트,n/a,ARS,Active,Charter,Chile,중남미
Aeromexico,아에로 멕시코,AM,AMX,Active,Full Service Carrier,Mexico,중남미
Aeromexico Connect,아에로멕시코 커넥트,5D,SLI,Active,Regional/Commuter,Mexico,중남미
Aeromil Pacific,에어로밀 패시픽,n/a,n/a,Ceased Operations,Charter,Australia,아시아태평양
Aeronaves Peruanas Air Cargo,에어로나베스 페루나스 에어카고,n/a,n/a,Active,Cargo,Peru,중남미
Aeronaves TSM,에어로나버스 TSM,n/a,VTM,Active,Charter,Mexico,중남미
Aeronova,에어로노바,X5,OVA,Ceased Operations,Charter,Spain,유럽
Aeropelican Air Services,에어로펠리칸항공서비스,OT,PEL,Ceased Operations,Regional/Commuter,Australia,아시아태평양
Aeroperlas,아에로페를라스,WL,APP,Ceased Operations,Regional/Commuter,Panama,중남미
Aeroperu,에어로페루,PL,PLI,Startup,Full Service Carrier,Peru,중남미
"Aeropostal, Alas De Venezuela S.A.",에어로 포스탈 베네수엘라,n/a,ALV,Active,Full Service Carrier,Venezuela,중남미
Aeroregional,에어로리저널항공,n/a,RER,Active,Full Service Carrier,Ecuador,중남미
Aerospace Consortium,에어로스페이스 콘소시엄,n/a,AKQ,Active,Full Service Carrier,Kenya,중동아프리카
Aerospace One,에어로스페이스원,n/a,OAN,Ceased Operations,Cargo,Greece,유럽
Aerostan,에어로스탄,KW,BSC,Active,Charter,Kyrgyzstan,아시아태평양
Aerosucre Colombia,에어로슈어 콜롬비아,n/a,KRE,Active,Charter,Colombia,중남미
Aerosul,에어로슬,n/a,ASO,Active,Charter,Brazil,중남미
Aerosur,에어로수르,5L,RSU,Ceased Operations,Full Service Carrier,Bolivia,중남미
Aerosur Paraguay,파라과이 항공,n/a,n/a,Failed startup,Charter,Paraguay,중남미
Aerosvit Airlines,에어로스빗 항공,VV,AEW,Ceased Operations,Full Service Carrier,Ukraine,유럽
Aerotaxi,에어로택시,n/a,CNI,Active,Charter,Cuba,중남미
Aerotaxi Abaete,아에로탁시 아베테,E4,ABJ,Active,Charter,Brazil,중남미
Aerotranscargo,에어로트렌스카고,F5,ATG,Active,Cargo,Moldova,유럽
Aerotucan,아에로투칸,n/a,RTU,Active,Charter,Mexico,중남미
Aerounion,아에로 유니온,6R,TNO,Active,Cargo,Mexico,중남미
Aerovias,에어로비아스,XU,AOQ,Ceased Operations,Full Service Carrier,Guatemala,중남미
Aerovias DAP,에어로비아스 DAP,V5,DAP,Active,Regional/Commuter,Chile,중남미
Aerovias Internacionales del Uruguay,우루과이 국제항공,n/a,n/a,Failed startup,Full Service Carrier,Uruguay,중남미
AeroVis Airlines,에어로비스 항공,n/a,VIZ,Active,Cargo,Ukraine,유럽
Aerus,에어루스,ZV,RFD,Active,Regional/Commuter,Mexico,중남미
Afghan Jet International Airlines,아프간 제트 인터내셔널,HN,AJA,Ceased Operations,Regional/Commuter,Afghanistan,중동아프리카
Afric Aviation,아프릭 에비에이션,L8,EKG,Ceased Operations,Regional/Commuter,Gabon,중동아프리카
Africa Air Assistance,아프리카 항공 지원,n/a,n/a,Ceased Operations,Charter,Senegal,중동아프리카
Africa Charter Airline,아프리카 차터,n/a,FSK,Active,Charter,South Africa,중동아프리카
Africa West Cargo,아프리카웨스트카고,FK,WTA,Ceased Operations,Cargo,Togo,중동아프리카
Africa World Airlines,아프리카 월드 항공,AW,AFW,Active,Regional/Commuter,Ghana,중동아프리카
African Express Airways,아프리카 익스프레스 에어웨이,XU,AXK,Active,Full Service Carrier,Kenya,중동아프리카
Africa's Connection STP,아프리카  컨넥션 STP,n/a,ACH,Active,Regional/Commuter,Sao Tome and Principe,중동아프리카
Afrijet,아프리제트,6F,FRJ,Ceased Operations,Cargo,Nigeria,중동아프리카
Afrijet Business Service,아프리제트 비즈니스서비스,J7,ABS,Active,Charter,Gabon,중동아프리카
Afrinat International Airlines,아프리낫 국제항공,Q9,AFU,Ceased Operations,Full Service Carrier,Ghana,중동아프리카
Afriqiyah Airways,아프리키야 항공,8U,AAW,Active,Full Service Carrier,Libya,중동아프리카
Agni Air,아그니 항공,AG,n/a,Ceased Operations,Charter,Nepal,아시아태평양
aha!,아하! 항공,EV,ASQ,Ceased Operations,Regional/Commuter,United States of America,북미캐나다
AHS Air International,AHS 에어 인터내셔널,n/a,AHS,Ceased Operations,Cargo,Pakistan,아시아태평양
Aigle Azur,에글 아쥐르 항공,n/a,AAF,Ceased Operations,Full Service Carrier,France,유럽
Air 26,에어 26,n/a,DCD,Ceased Operations,Regional/Commuter,Angola,중동아프리카
Air Aland,에어 올란드,n/a,n/a,Ceased Operations,Virtual Carrier,Finland,유럽
Air Alanna,에어 알라나,n/a,ALQ,Ceased Operations,Charter,Ukraine,유럽
